date,HP_index,dHP_log
2005Q3,134.2045,3.400960157993893
2005Q4,137.9316,2.7393154090025185
2006Q1,140.5029,1.8470219023033252
2006Q2,139.4966,-0.7187900925639035
2006Q3,138.4547,-0.749703189038442
2006Q4,138.4431,-0.008378542557441193
2007Q1,137.09,-0.982176644077537
2007Q2,133.0182,-3.0151683482818825
2007Q3,129.3397,-2.804368441730176
2007Q4,125.2048,-3.249147995845103
2008Q1,120.3197,-3.9798429741879637
2008Q2,114.8745,-4.631213873810669
2008Q3,109.774,-4.541652124520734
2008Q4,104.1343,-5.274229463915869
2009Q1,101.1052,-2.951985329761264
2009Q2,101.103,-0.0021759750594263494
2009Q3,101.3874,0.2809023904417174
2009Q4,101.9802,0.5829853712848276
2010Q1,101.0457,-0.9205787041215885
2010Q2,101.3664,0.3168785545439867
