Date,R,CGDP,CPIR,INVR,HP,IR,ROP,IROR,LSOI,RGDP,RGDP.1,MA,TOBQ,CGDP_change,HP_change,IR_change,LSOI_change
1994Q3,0.0,118.8,0.9263443289652118,0.02452452532531635,0.4764810043156764,3.5536556710347886,117.333,28.09069169120356,107.897,11152.176,0.5845845553328566,59.0,0.9511,-0.10000000000000853,-0.10345055951930249,0.13170838632675563,-0.09299999999998931
1994Q4,0.0,119.4,0.5820461159615098,0.04557302037214894,0.4438020506655427,4.6979538840384905,120.277,42.177042400641,107.054,11279.932,1.1455701559946796,56.1,0.9257,0.6000000000000085,-0.032678953650133735,1.1442982130037018,-0.8430000000000035
1995Q1,0.0,119.2,0.7344758513242677,0.051271289601309666,0.3439201647687184,5.0055241486757325,124.873,-24.856026904259107,107.167,11319.951,0.3547805075420518,52.1,0.9827,-0.20000000000000284,-0.09988188589682429,0.307570264637242,0.11299999999999955
1995Q2,0.0,120.2,0.8174988952717621,0.016070322400986603,0.6362593746546352,4.7825011047282375,127.254,6.490951977214446,107.095,11353.721,0.298322846097121,45.9,1.041,1.0,0.29233920988591683,-0.22302304394749495,-0.07200000000000273
1995Q3,0.0,120.7,0.504054350208194,0.009358810327831037,0.8944071565525569,4.865945649791806,127.901,47.69573121314649,107.337,11450.31,0.8507255022384363,48.1,1.098,0.5,0.25814778189792165,0.08344454506356858,0.24200000000000443
1995Q4,0.0,121.5,0.5451373746184096,0.01874217286741797,0.5157632179392024,4.71486262538159,125.825,4.600063090502272,107.354,11528.067,0.6790820510536255,46.2,1.176,0.7999999999999972,-0.37864393861335444,-0.15108302441021593,0.016999999999995907
1996Q1,0.0,121.8,0.889178052483186,0.02104906734912837,0.8485733574080001,4.040821947516814,122.168,25.997338454498248,107.509,11614.418,0.7490501226268043,46.9,1.208,0.29999999999999716,0.33281013946879767,-0.6740406778647765,0.15500000000000114
1996Q2,0.0,122.3,0.8598452278590019,0.02059382890993744,0.6991771913868128,4.160154772140998,119.511,11.704406408744171,107.042,11808.14,1.6679441018912833,53.6,1.25,0.5,-0.14939616602118733,0.11933282462418404,-0.46699999999999875
1996Q3,0.0,122.5,0.5754475703324768,0.03128723155761515,0.5627700774719635,4.524552429667523,118.893,7.4665285793418175,107.093,11914.063,0.8970337411311258,51.1,1.252,0.20000000000000284,-0.13640711391484928,0.3643976575265251,0.05100000000000193
1996Q4,0.0,122.3,0.8688281415554222,0.02694563422519436,0.6298130212656794,4.111171858444578,119.27,19.462846413330645,107.067,12037.775,1.0383695301930065,55.2,1.27,-0.20000000000000284,0.06704294379371589,-0.4133805712229446,-0.02600000000001046
1997Q1,0.0,122.1,0.6092436974789894,0.0212459493093804,0.8147935020121899,4.45075630252101,123.197,15.735288717133509,107.891,12115.472,0.6454431985977394,53.8,1.182,-0.20000000000000284,0.18498048074651052,0.33958444407643196,0.8240000000000123
1997Q2,0.0,122.7,0.2296930465650604,0.02237603956406176,1.007234193155515,4.820306953434939,124.998,8.493446546074495,106.938,12317.221,1.665217830555843,54.9,1.362,0.6000000000000085,0.19244069114332518,0.36955065091392925,-0.953000000000003
1997Q3,0.0,123.5,0.4999999999999893,0.03967056063461572,1.2233500874776482,4.5500000000000105,129.051,39.5670871313152,106.75,12471.01,1.2485689750959317,53.9,1.426,0.7999999999999972,0.21611589432213307,-0.27030695343492894,-0.1880000000000024
1997Q4,0.0,124.1,0.5389718076285188,-0.004864953830612029,1.4913958190596155,4.551028192371481,134.535,-16.107119873100263,107.9,12577.495,0.8538602727445443,54.5,1.408,0.5999999999999943,0.2680457315819673,0.0010281923714705599,1.1500000000000057
1998Q1,0.0,124.9,0.2061855670103085,0.01813030321349496,1.974010909657764,4.843814432989691,147.779,-47.07206644207348,109.022,12703.742,1.0037531320823412,52.9,1.519,0.8000000000000114,0.48261509059814856,0.29278624061821024,1.1219999999999999
1998Q2,0.0,127.0,0.3292181069958877,0.017937405613239532,1.3311978540864189,4.650781893004113,147.641,2.1923121648394703,109.741,12821.339,0.9256878799962952,48.9,1.552,2.0999999999999943,-0.6428130555713452,-0.19303253998557857,0.7189999999999941
1998Q3,0.0,128.1,0.5127153404429929,0.015605069253754378,1.7508916345486014,4.307284659557007,148.551,20.38415997117108,109.707,12982.752,1.258940271371034,48.7,1.362,1.0999999999999943,0.41969378046218253,-0.34349723344710537,-0.034000000000006025
1998Q4,0.0,129.4,0.4692919812283147,0.017011380654837316,1.876400307010684,3.780708018771685,149.128,-20.675479815329904,109.538,13191.67,1.609196570958149,46.8,1.649,1.3000000000000114,0.12550867246208264,-0.5265766407853225,-0.16899999999999693
1999Q1,0.0,130.4,0.3655564581640957,0.02342907558082552,1.5316132094968182,4.044443541835904,150.091,21.40285076366756,109.9,13315.597,0.9394337487217186,52.4,1.679,1.0,-0.3447870975138658,0.26373552306421955,0.362000000000009
