,IR_nom,CPIR,IR_real
1988Q4,7.73,1.092436974789912,6.637563025210088
1989Q1,8.54,1.1360487669714647,7.403951233028534
1989Q2,8.41,1.6164383561643625,6.793561643835638
1989Q3,7.84,0.7818819088703188,7.058118091129681
1989Q4,7.65,1.016586409844833,6.633413590155167
1990Q1,7.76,1.7213983050847315,6.038601694915268
1990Q2,7.75,0.9893256964332187,6.760674303566781
1990Q3,7.48,1.7272492910544113,5.752750708945589
1990Q4,6.99,1.6979219462746942,5.292078053725306
1991Q1,6.02,0.7475703962123381,5.2724296037876615
1991Q2,5.56,0.5936186000494503,4.966381399950549
1991Q3,5.38,0.762232603884927,4.617767396115073
1991Q4,4.54,0.829673011224985,3.710326988775015
1992Q1,3.89,0.6776379477250849,3.2123620522749152
1992Q2,3.68,0.7692307692307665,2.9107692307692337
1992Q3,3.08,0.7633587786259444,2.3166412213740557
1992Q4,3.07,0.8759469696969724,2.1940530303030275
1993Q1,2.96,0.7275287491199434,2.2324712508800566
1993Q2,2.97,0.7222739981360471,2.247726001863953
1993Q3,3.0,0.4626416840157521,2.537358315984248
1993Q4,3.06,0.8289201013124581,2.231079898687542
1994Q1,3.24,0.5023978077186575,2.7376021922813427
1994Q2,3.99,0.5680527152919668,3.4219472847080334
1994Q3,4.48,0.9263443289652118,3.5536556710347886
1994Q4,5.28,0.5820461159615098,4.6979538840384905
1995Q1,5.74,0.7344758513242677,5.0055241486757325
1995Q2,5.6,0.8174988952717621,4.7825011047282375
1995Q3,5.37,0.504054350208194,4.865945649791806
1995Q4,5.26,0.5451373746184096,4.71486262538159
1996Q1,4.93,0.889178052483186,4.040821947516814
1996Q2,5.02,0.8598452278590019,4.160154772140998
1996Q3,5.1,0.5754475703324768,4.524552429667523
1996Q4,4.98,0.8688281415554222,4.111171858444578
1997Q1,5.06,0.6092436974789894,4.45075630252101
1997Q2,5.05,0.2296930465650604,4.820306953434939
1997Q3,5.05,0.49999999999998934,4.5500000000000105
1997Q4,5.09,0.5389718076285188,4.551028192371481
1998Q1,5.05,0.20618556701030855,4.843814432989691
1998Q2,4.98,0.3292181069958877,4.650781893004113
1998Q3,4.82,0.5127153404429929,4.307284659557007
1998Q4,4.25,0.4692919812283147,3.7807080187716853
1999Q1,4.41,0.36555645816409577,4.044443541835904
1999Q2,4.45,0.7486847430190346,3.7013152569809655
1999Q3,4.65,0.7431211086563749,3.9068788913436254
1999Q4,5.04,0.7376395534290259,4.302360446570974
2000Q1,5.52,0.9895111814763435,4.530488818523656
2000Q2,5.71,0.783852635704485,4.926147364295515
2000Q3,6.02,0.9138635037915677,5.106136496208432
2000Q4,6.02,0.7129094412331449,5.307090558766855
2001Q1,4.82,0.9565716472163643,3.863428352783636
2001Q2,3.66,0.70115595982565,2.95884404017435
2001Q3,3.17,0.2822732404968109,2.887726759503189
2001Q4,1.91,-0.07506098705197806,1.985060987051978
2002Q1,1.72,0.3192488262910853,1.4007511737089147
2002Q2,1.71,0.7862223886184738,0.9237776113815261
2002Q3,1.64,0.538632986627019,1.101367013372981
2002Q4,1.33,0.5911694069832052,0.7388305930167949
2003Q1,1.16,1.028466483011936,0.13153351698806381
2003Q2,1.04,-0.1636066169787176,1.2036066169787176
2003Q3,0.93,0.7465404224326067,0.1834595775673934
2003Q4,0.92,0.37954093620098384,0.5404590637990162
2004Q1,0.92,0.8462369463449804,0.07376305365501967
2004Q2,1.08,0.785574004642009,0.2944259953579911
2004Q3,1.49,0.6377325066430517,0.8522674933569483
2004Q4,2.01,1.073754620665368,0.9362453793346317
2005Q1,2.54,0.5050505050504972,2.034949494949503
2005Q2,2.86,0.6757927568878719,2.184207243112128
2005Q3,3.36,1.5146299483648873,1.8453700516351126
2005Q4,3.83,0.9325194981349538,2.8974805018650462
2006Q1,4.39,0.5207458424324019,3.869254157567598
2006Q2,4.7,0.9024064171123003,3.7975935828877
2006Q3,4.91,0.9440211990725533,3.965978800927447
2006Q4,4.9,-0.41017227235438103,5.310172272354381
2007Q1,4.98,0.9803953871499127,3.9996046128500877
2007Q2,4.74,1.1325538256728551,3.607446174327145
2007Q3,4.3,0.6330124715071772,3.6669875284928226
2007Q4,3.39,1.2266417875755442,2.163358212424456
2008Q1,2.04,1.083188565076032,0.956811434923968
2008Q2,1.63,1.3009373203260566,0.3290626796739433
2008Q3,1.49,1.5418805375084998,-0.05188053750849986
2008Q4,0.3,-2.2901902729738577,2.5901902729738575
2009Q1,0.21,-0.6878696149613561,0.8978696149613561
2009Q2,0.17,0.5317571056592474,-0.36175710565924735
2009Q3,0.16,0.8603933360498583,-0.7003933360498583
2009Q4,0.06,0.7829333531466087,-0.7229333531466087
2010Q1,0.11,0.15850343270515932,-0.04850343270515932
2010Q2,0.15,-0.03526947411681691,0.1852694741168169
2010Q3,0.16,0.2931467175544489,-0.13314671755444887
2010Q4,0.14,0.8097240300212638,-0.6697240300212638
2011Q1,0.13,1.0672177236431102,-0.9372177236431102
2011Q2,0.05,1.1370135904199108,-1.0870135904199107
2011Q3,0.02,0.6520658151564662,-0.6320658151564662
2011Q4,0.01,0.4489026659863393,-0.4389026659863393
2012Q1,0.07,0.5631718496290183,-0.49317184962901833
2012Q2,0.09,0.21110167041860084,-0.12110167041860084
2012Q3,0.1,0.45147022831371064,-0.35147022831371066
2012Q4,0.09,0.6649524381347582,-0.5749524381347583
2013Q1,0.09,0.4019547390319733,-0.31195473903197335
2013Q2,0.05,-0.10948517573591277,0.15948517573591275
2013Q3,0.03,0.540843370897881,-0.510843370897881
2013Q4,0.06,0.3697671095870936,-0.3097671095870936
2014Q1,0.05,0.6227864390565996,-0.5727864390565995
2014Q2,0.03,0.5310788653529741,-0.5010788653529741
2014Q3,0.03,0.2558340146661342,-0.2258340146661342
2014Q4,0.02,-0.2484437176724863,0.2684437176724863
2015Q1,0.03,-0.6472810677323193,0.6772810677323193
2015Q2,0.02,0.6819485458137597,-0.6619485458137597
2015Q3,0.04,0.37770087778528083,-0.33770087778528085
2015Q4,0.12,-0.007567635744465395,0.1275676357444654
2016Q1,0.29,-0.0620873399288846,0.3520873399288846
2016Q2,0.26,0.7997834708611151,-0.5397834708611151
2016Q3,0.3,0.4244745544826012,-0.1244745544826012
2016Q4,0.43,0.6347825364148019,-0.20478253641480187
2017Q1,0.59,0.7037406181684025,-0.11374061816840253
2017Q2,0.89,0.1153768338628236,0.7746231661371764
2017Q3,1.04,0.4780435851220677,0.5619564148779324
2017Q4,1.21,0.7955306776687543,0.41446932233124567
2018Q1,1.56,0.8426417154837162,0.7173582845162838
2018Q2,1.84,0.5444105004913213,1.2955894995086787
