,CPIR
2010Q1,0.15850343270515932
2010Q2,-0.03526947411681691
2010Q3,0.2931467175544489
2010Q4,0.8097240300212638
2011Q1,1.0672177236431102
2011Q2,1.1370135904199108
2011Q3,0.6520658151564662
2011Q4,0.4489026659863393
2012Q1,0.5631718496290183
2012Q2,0.21110167041860084
2012Q3,0.45147022831371064
2012Q4,0.6649524381347582
2013Q1,0.4019547390319733
2013Q2,-0.10948517573591277
2013Q3,0.540843370897881
2013Q4,0.3697671095870936
2014Q1,0.6227864390565996
2014Q2,0.5310788653529741
2014Q3,0.2558340146661342
2014Q4,-0.2484437176724863
2015Q1,-0.6472810677323193
2015Q2,0.6819485458137597
2015Q3,0.37770087778528083
2015Q4,-0.007567635744465395
2016Q1,-0.0620873399288846
2016Q2,0.7997834708611151
