date,GFCF,INVR
1998Q2,908615.0,1.7937405613239532
1998Q3,922794.0,1.5605069253754378
1998Q4,938492.0,1.7011380654837316
1999Q1,960480.0,2.342907558082552
1999Q2,985904.0,2.6470098284191224
1999Q3,1011577.0,2.6040060695564637
1999Q4,1020641.0,0.89602669890676
2000Q1,1061455.0,3.9988595402301153
2000Q2,1102644.0,3.8804282800495526
2000Q3,1118582.0,1.4454347912834953
2000Q4,1122929.0,0.38861701690176
2001Q1,1103327.0,-1.7456134804604728
2001Q2,1077454.0,-2.344998354975447
2001Q3,1061039.0,-1.5234989150348932
2001Q4,1019789.0,-3.887698755653657
2002Q1,982895.0,-3.617807213060742
2002Q2,958268.0,-2.505557562099714
2002Q3,947064.0,-1.1691927519232648
2002Q4,938353.0,-0.9197900036322815
2003Q1,945756.0,0.7889355072131732
