,R,CGDP,CPIR,INVR,HP,IR,ROP,IROR,LSOI,RGDP,RGDP,MA,TOBQ
1989Q1,0.0,124.5,1.1360487669714647,1.6791264264553352,2.1098589696687764,7.403951233028534,151.773,-5.432184068118953e-05,110.723,9771.725,1.016394950898869,51.5,0.5152
1989Q2,0.0,125.0,1.6164383561643625,1.163761820113396,1.4973887960133323,6.793561643835638,157.641,-1.7998004097722927e-05,109.476,9846.293,0.7630996574299775,47.3,0.5473
1989Q3,0.0,124.7,0.7818819088703188,3.646594730154895,1.3480414579413402,7.058118091129681,162.502,-3.932238799990978e-06,109.166,9919.228,0.7407356250722863,46.0,0.5923
1989Q4,0.0,125.2,1.016586409844833,1.2262676481622936,1.263673936930898,6.633413590155167,166.338,-3.494971547551806e-05,110.149,9938.767,0.1969810553805295,47.4,0.6208
1990Q1,0.0,125.5,1.7213983050847317,3.026549198767192,1.3912523899245244,6.038601694915268,169.079,1.4385622387833712e-05,110.182,10047.386,1.0928820446238552,49.9,0.5984
1990Q2,0.0,125.5,0.9893256964332188,0.1698713940804674,0.0961768857662193,6.760674303566781,170.351,1.969060061055205e-05,110.469,10083.855,0.3629700302148153,49.2,0.6232
1990Q3,1.0,125.2,1.7272492910544113,1.966436714500808,-0.2411613226136921,5.752750708945589,171.17,-5.001524464963287e-05,110.63,10090.569,0.0665816793280038,44.5,0.5271
1990Q4,1.0,125.1,1.6979219462746942,-0.4644706334392512,-0.4614223688150787,5.292078053725306,168.116,-1.982240970703087e-05,111.612,9998.704,-0.910404556967992,40.8,0.5793
1991Q1,0.0,124.4,0.7475703962123381,-0.453959705635798,-0.730183827816866,5.2724296037876615,164.656,1.9275828625617386e-05,110.902,9951.916,-0.4679406451076118,40.7,0.6639
1991Q2,0.0,124.7,0.5936186000494503,-0.2921708848006465,0.6958383374256805,4.966381399950549,160.04,-1.2611534054769903e-05,110.641,10029.51,0.7796890568610104,50.3,0.6549
1991Q3,0.0,123.8,0.762232603884927,-0.9303655688480016,-0.3160566408183296,4.617767396115073,154.376,-1.8448864565879344e-05,110.286,10080.195,0.5053586865160886,54.9,0.7025
1991Q4,0.0,123.1,0.829673011224985,0.3346515409558437,-0.2609908482889889,3.710326988775015,147.67,-2.4888527674397944e-05,110.855,10115.329,0.3485448446185923,46.8,0.8198
1992Q1,0.0,122.0,0.6776379477250849,-0.0145765884645432,0.2223073694102684,3.2123620522749152,140.578,7.1582928316809125e-06,111.299,10236.435,1.1972522099874316,54.6,0.8288
1992Q2,0.0,121.0,0.7692307692307665,3.4334788647018666,-0.1877631506296939,2.9107692307692337,133.267,1.57393891539949e-06,110.934,10347.429,1.0843032755055937,53.6,0.8265
1992Q3,0.0,120.2,0.7633587786259444,1.9875483812339167,-0.1426638670019908,2.316641221374056,127.848,-1.9773741581307472e-05,110.668,10449.673,0.9881101865980568,49.7,0.8558
1992Q4,0.0,119.2,0.8759469696969724,2.568173056640544,0.2972316313020862,2.1940530303030275,123.578,3.917545924116063e-05,109.765,10558.648,1.0428555994048685,54.2,0.9517
1993Q1,0.0,118.2,0.7275287491199434,0.9433611028868194,0.3029345183705789,2.2324712508800566,120.512,-2.479770171982132e-05,109.14,10576.275,0.166943722340207,53.5,0.9783
1993Q2,0.0,118.3,0.7222739981360471,1.0850627362268384,0.4845416195032648,2.247726001863953,118.068,4.790345189073194e-05,109.978,10637.847,0.5821709439287392,49.6,0.9712
1993Q3,0.0,118.5,0.4626416840157521,1.1107713371303118,0.7038266031464957,2.537358315984248,116.302,3.2128969765430568e-06,109.225,10688.606,0.477154822775705,50.8,0.9845
1993Q4,0.0,118.8,0.8289201013124581,3.980829605852154,0.912412134489582,2.231079898687542,115.271,7.088871396955865e-05,108.995,10833.987,1.360149302911906,55.6,1.014
1994Q1,0.0,118.8,0.5023978077186575,1.3128300047099195,0.3100328607640534,2.7376021922813427,114.799,1.9974716443031097e-05,107.68,10939.116,0.9703629882517052,56.9,0.9562
1994Q2,0.0,118.9,0.5680527152919668,1.9505781756433915,0.5799315638349789,3.421947284708033,115.474,3.9655630794260486e-05,107.99,11087.361,1.355182630845131,58.8,0.9174
1994Q3,0.0,118.8,0.9263443289652118,2.452452532531635,0.4764810043156764,3.5536556710347886,117.333,2.809069169120356e-05,107.897,11152.176,0.5845845553328566,59.0,0.9511
1994Q4,0.0,119.4,0.5820461159615098,4.557302037214894,0.4438020506655427,4.6979538840384905,120.277,4.2177042400641e-05,107.054,11279.932,1.1455701559946796,56.1,0.9257
1995Q1,0.0,119.2,0.7344758513242677,5.127128960130967,0.3439201647687184,5.0055241486757325,124.873,-2.4856026904259108e-05,107.167,11319.951,0.3547805075420518,52.1,0.9827
