date,profits_nom,inv_nom,gdpdef,profits_real,inv_real,d_profits_real,inv_real_lag,IROR,IROR_pct
1979Q1,229.994,262195.0,34.904,658.9330735732294,751188.9754755902,-30.681559292373322,736319.612590799,-4.1668806273430394e-05,-0.004166880627343039
1979Q2,228.763,267268.0,35.759,639.7354512150787,747414.6368746329,-19.19762235815074,751188.9754755902,-2.5556315367909125e-05,-0.0025556315367909125
1979Q3,224.752,280949.0,36.541,615.0680058017023,768859.6371199476,-24.667445413376413,747414.6368746329,-3.3003695935799544e-05,-0.0033003695935799543
1979Q4,223.39,287525.0,37.219,600.2041967812138,772522.0989279669,-14.863809020488475,768859.6371199476,-1.9332279005003373e-05,-0.0019332279005003373
1980Q1,223.845,298295.0,38.001,589.0502881503119,784966.1851003922,-11.153908630901924,772522.0989279669,-1.443830363737201e-05,-0.001443830363737201
1980Q2,203.833,291582.0,38.905,523.9249453797712,749471.7902583216,-65.12534277054067,784966.1851003922,-8.296579394972479e-05,-0.008296579394972478
1980Q3,219.199,299348.0,39.774,551.1112787247952,752622.3160858853,27.186333345023968,749471.7902583216,3.6273991494267734e-05,0.0036273991494267734
1980Q4,246.886,310634.0,40.81,604.9644694927713,761171.28154864,53.853190767976116,752622.3160858853,7.155407116818826e-05,0.007155407116818826
1981Q1,261.521,323482.0,41.885,624.3786558433807,772309.8961442044,19.414186350609384,761171.28154864,2.5505673717892086e-05,0.0025505673717892085
1981Q2,266.783,336160.0,42.715,624.565141051153,786983.4952592766,0.18648520777230715,772309.8961442044,2.414642214263262e-07,2.414642214263262e-05
1981Q3,289.024,348869.0,43.519,664.1329074657046,801647.5562398033,39.56776641455167,786983.4952592766,5.027775887665322e-05,0.005027775887665322
1981Q4,276.601,363695.0,44.271,624.7904949063721,821519.730749249,-39.3424125593325,801647.5562398033,-4.907694441666044e-05,-0.004907694441666044
1982Q1,261.637,360727.0,44.88,582.9701426024955,803758.9126559715,-41.82035230387669,821519.730749249,-5.0906083857213454e-05,-0.005090608385721345
1982Q2,272.264,353443.0,45.463,598.8694102896861,777429.9980203682,15.899267687190672,803758.9126559715,1.978114013647765e-05,0.001978114013647765
1982Q3,270.004,345286.0,46.108,585.5903530840635,748863.5377808623,-13.279057205622621,777429.9980203682,-1.708071111152919e-05,-0.0017080711111529191
1982Q4,255.318,340166.0,46.586,548.0573562872967,730189.3272657022,-37.53299679676684,748863.5377808623,-5.0119941622461534e-05,-0.005011994162246154
1983Q1,268.647,333654.0,46.938,572.3443691678384,710839.8312667775,24.287012880541738,730189.3272657022,3.326125427152971e-05,0.0033261254271529706
1983Q2,294.808,336968.0,47.286,623.4572600769784,712616.842194307,51.11289090913999,710839.8312667775,7.190493365861679e-05,0.007190493365861679
1983Q3,315.406,350702.0,47.789,659.9970704555441,733855.0712507062,36.539810378565676,712616.842194307,5.127553576484582e-05,0.005127553576484581
1983Q4,333.76,371746.0,48.151,693.1527901808892,772042.1175053477,33.15571972534508,733855.0712507062,4.518020113813198e-05,0.004518020113813198
1984Q1,370.083,383576.0,48.639,760.8770739530007,788618.1870515429,67.72428377211156,772042.1175053477,8.772097044516805e-05,0.008772097044516805
1984Q2,374.109,402275.0,49.055,762.6317398838039,820048.9246763837,1.754665930803185,788618.1870515429,2.2249879087413216e-06,0.00022249879087413217
1984Q3,371.961,414453.0,49.491,751.573013275141,837431.0480693459,-11.058726608662937,820048.9246763837,-1.3485447362822953e-05,-0.0013485447362822952
1984Q4,379.201,423246.0,49.861,760.5162351336717,848851.8080263132,8.943221858530706,837431.0480693459,1.0679353099158244e-05,0.0010679353099158244
1985Q1,378.443,427487.0,50.354,751.5649203638241,848963.339555944,-8.951314769847613,848851.8080263132,-1.0545203161739788e-05,-0.0010545203161739787
1985Q2,379.429,432891.0,50.678,748.7055527053159,854199.0607364142,-2.8593676585081766,848963.339555944,-3.3680696506916166e-06,-0.00033680696506916167
1985Q3,398.644,428484.0,50.984,781.900203985564,840428.3696846068,33.19465128024808,854199.0607364142,3.886055698964433e-05,0.003886055698964433
1985Q4,377.574,437454.0,51.269,736.4567282373365,853252.4527492247,-45.443475748227456,840428.3696846068,-5.407180122356095e-05,-0.005407180122356095
1986Q1,375.767,433956.0,51.524,729.3047900007763,842240.50927723,-7.151938236560227,853252.4527492247,-8.38197208049775e-06,-0.0008381972080497749
1986Q2,361.847,426617.0,51.719,699.6403642761846,824874.8042305536,-29.664425724591638,842240.50927723,-3.522084891172975e-05,-0.003522084891172975
1986Q3,357.122,422208.0,51.931,687.6855827925517,813017.272919836,-11.954781483632928,824874.8042305536,-1.4492843547069418e-05,-0.0014492843547069417
1986Q4,362.44,424829.0,52.214,694.1433332056538,813630.4439422378,6.457750413102076,813017.272919836,7.942943684222087e-06,0.0007942943684222087
1987Q1,375.131,410764.0,52.548,713.8825454822256,781692.9283702519,19.739212276571834,813630.4439422378,2.426066087317301e-05,0.002426066087317301
1987Q2,399.81,416522.0,52.912,755.6130934381614,787197.6111279104,41.730547955935776,781692.9283702519,5.338483494143872e-05,0.005338483494143871
1987Q3,422.098,428099.0,53.313,791.735599197194,802991.7656106391,36.122505759032606,787197.6111279104,4.588746872246684e-05,0.004588746872246684
1987Q4,422.611,433541.0,53.738,786.4285980125795,806768.0226283078,-5.307001184614478,802991.7656106391,-6.609035623894278e-06,-0.0006609035623894278
1988Q1,440.287,430594.0,54.159,812.952602522203,795055.3001347883,26.524004509623524,806768.0226283078,3.287686641720503e-05,0.0032876866417205033
1988Q2,447.231,448229.0,54.686,817.8162601031343,819641.2244450133,4.8636575809312035,795055.3001347883,6.117382753258361e-06,0.000611738275325836
1988Q3,455.399,455900.0,55.34,822.9110950487893,823816.4076617275,5.094834945655066,819641.2244450133,6.2159330127701e-06,0.00062159330127701
1988Q4,483.327,467505.0,55.818,865.8980973879394,837552.4024508223,42.98700233915008,823816.4076617275,5.218031825945526e-05,0.005218031825945526
1989Q1,462.706,475355.0,56.4,820.4007092198583,842828.0141843973,-45.4973881680811,837552.4024508223,-5.432184068118953e-05,-0.005432184068118953
1989Q2,458.99,480887.0,57.001,805.2314871668918,843646.6026911809,-15.169222052966461,842828.0141843973,-1.7998004097722927e-05,-0.0017998004097722928
1989Q3,460.435,498423.0,57.417,801.914067262309,868075.6570353727,-3.3174199045828345,843646.6026911809,-3.932238799990978e-06,-0.0003932238799990978
1989Q4,446.171,504535.0,57.826,771.5750700376993,872505.4473766126,-30.33899722460967,868075.6570353727,-3.494971547551806e-05,-0.003494971547551806
1990Q1,458.322,519805.0,58.45,784.1266039349872,889315.6544054748,12.551533897287868,872505.4473766126,1.4385622387833713e-05,0.0014385622387833713
1990Q2,473.808,520688.0,59.105,801.6377633025971,880954.2339903562,17.511159367609935,889315.6544054748,1.9690600610552046e-05,0.0019690600610552046
1990Q3,451.599,530927.0,59.611,757.5766217644396,890652.7318783447,-44.061141538157585,880954.2339903562,-5.001524464963287e-05,-0.005001524464963287
1990Q4,444.36,528461.0,60.055,739.9217384064607,879961.7017733743,-17.65488335797886,890652.7318783447,-1.982240970703087e-05,-0.001982240970703087
1991Q1,458.997,526062.0,60.643,756.8837293669509,867473.5748561252,16.961990960490198,879961.7017733743,1.9275828625617386e-05,0.0019275828625617386
1991Q2,455.682,524525.0,61.088,745.9435568360399,858638.3577789419,-10.940172530911013,867473.5748561252,-1.2611534054769905e-05,-0.0012611534054769904
1991Q3,449.495,519645.0,61.566,730.1026540623071,844045.414676932,-15.84090277373275,858638.3577789419,-1.8448864565879344e-05,-0.0018448864565879344
1991Q4,439.15,521384.0,61.931,709.0956064006716,841878.8651886777,-21.00704766163551,844045.414676932,-2.4888527674397944e-05,-0.002488852767439794
1992Q1,444.527,521308.0,62.161,715.1220218464954,838641.5919949808,6.026415445823773,841878.8651886777,7.1582928316809125e-06,0.0007158292831680913
